Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore,ha_signal,ema_200_signal,stoch_signal
2018-01-01 00:00:00,13715.65,13715.65,13400.01,13556.15,123.616013,2018-01-01 00:14:59.999,1675544.88664526,1572,63.227133,857610.82699857,0,0.0,0.0,0.0
2018-01-01 00:15:00,13533.75,13550.87,13402.0,13521.12,98.13643,2018-01-01 00:29:59.999,1321756.85180771,1461,47.686389,642281.17230261,0,-1.0,-1.0,0.0
2018-01-01 00:30:00,13500.0,13545.37,13450.0,13470.41,79.904037,2018-01-01 00:44:59.999,1078825.28721296,1000,43.710406,590034.71316,0,0.0,-1.0,0.0
2018-01-01 00:45:00,13494.65,13690.87,13450.0,13529.01,141.699719,2018-01-01 00:59:59.999,1917782.81037207,1195,73.897993,1000614.39330831,0,0.0,1.0,0.0
2018-01-01 01:00:00,13528.99,13571.74,13402.28,13445.63,72.537533,2018-01-01 01:14:59.999,977819.78729486,898,34.257652,461836.85398207,0,0.0,-1.0,0.0
2018-01-01 01:15:00,13469.99,13595.89,13445.63,13560.0,87.861758,2018-01-01 01:29:59.999,1189940.74128452,939,45.135957,611143.68909608,0,0.0,1.0,0.0
2018-01-01 01:30:00,13559.99,13559.99,13430.0,13440.01,74.368405,2018-01-01 01:44:59.999,1004037.50734729,1047,38.653471,521976.49064402,0,0.0,-1.0,0.0
2018-01-01 01:45:00,13440.01,13440.01,13155.38,13203.06,148.92931,2018-01-01 01:59:59.999,1982723.51920877,1650,62.793323,835492.45923455,0,-1.0,-1.0,0.0
2018-01-01 02:00:00,13203.0,13411.76,13202.03,13387.0,108.54247,2018-01-01 02:14:59.999,1446924.17522865,1528,40.703069,542485.79853147,0,0.0,-1.0,0.0
2018-01-01 02:15:00,13387.0,13388.0,13225.0,13225.0,95.186039,2018-01-01 02:29:59.999,1265431.07756507,1079,43.068838,572618.10976059,0,0.0,-1.0,0.0
2018-01-01 02:30:00,13247.8,13349.99,13200.0,13321.08,111.719503,2018-01-01 02:44:59.999,1483295.28406662,1074,53.247854,707354.31474617,0,0.0,-1.0,0.0
2018-01-01 02:45:00,13338.97,13418.43,13260.09,13330.18,113.61656,2018-01-01 02:59:59.999,1514541.48166925,1206,55.218174,736046.43460708,0,0.0,-1.0,0.0
2018-01-01 03:00:00,13330.26,13450.76,13290.0,13444.99,89.019514,2018-01-01 03:14:59.999,1189069.98587795,1070,35.514692,474701.23307922,0,0.0,1.0,0.0
2018-01-01 03:15:00,13440.0,13611.27,13440.0,13562.37,112.273306,2018-01-01 03:29:59.999,1516663.25201134,1415,43.355251,585957.27143804,0,1.0,1.0,0.0
2018-01-01 03:30:00,13562.37,13611.01,13400.0,13500.0,105.619306,2018-01-01 03:44:59.999,1428926.0792257,1051,32.728398,443361.22260799,0,0.0,1.0,0.0
2018-01-01 03:45:00,13510.0,13510.0,13400.04,13410.03,113.174904,2018-01-01 03:59:59.999,1522789.1401892,1253,26.320066,354021.53033218,0,-1.0,-1.0,0.0
2018-01-01 04:00:00,13434.98,13483.07,13322.15,13351.71,94.759633,2018-01-01 04:14:59.999,1271040.7339896,1255,34.071009,456758.78381016,0,0.0,-1.0,0.0
2018-01-01 04:15:00,13354.99,13449.89,13323.55,13430.0,70.563137,2018-01-01 04:29:59.999,943233.95349078,1022,42.572089,569102.33574279,0,0.0,1.0,0.0
2018-01-01 04:30:00,13429.99,13550.0,13401.94,13507.41,68.943608,2018-01-01 04:44:59.999,929033.27382523,1006,45.665955,615353.93579243,0,1.0,1.0,0.0
2018-01-01 04:45:00,13507.41,13623.29,13465.41,13601.01,106.540951,2018-01-01 04:59:59.999,1444739.0348518,1280,50.648582,686842.86487074,0,0.0,1.0,0.0
2018-01-01 05:00:00,13615.2,13677.83,13552.02,13627.14,185.935937,2018-01-01 05:14:59.999,2534197.33101053,2119,49.916113,680340.60496221,0,0.0,1.0,0.0
2018-01-01 05:15:00,13600.0,13699.0,13532.57,13618.51,103.502867,2018-01-01 05:29:59.999,1408948.71411298,1213,45.980964,625961.76456313,0,0.0,1.0,0.0
2018-01-01 05:30:00,13618.51,13629.0,13530.0,13580.01,70.523393,2018-01-01 05:44:59.999,956236.84514387,925,27.705653,375663.23130855,0,0.0,1.0,0.0
2018-01-01 05:45:00,13558.95,13600.0,13526.5,13558.99,44.266849,2018-01-01 05:59:59.999,599672.0466163,829,18.728328,253744.5590195,0,0.0,1.0,0.0
2018-01-01 06:00:00,13539.0,13571.63,13510.0,13532.32,58.377845,2018-01-01 06:14:59.999,789929.81675843,863,20.938556,283393.55974619,0,0.0,1.0,0.0
2018-01-01 06:15:00,13532.0,13701.13,13510.51,13687.76,99.588918,2018-01-01 06:29:59.999,1355583.10427326,1275,59.744662,812458.49693489,0,0.0,1.0,0.0
2018-01-01 06:30:00,13687.76,13750.0,13620.01,13722.47,52.257108,2018-01-01 06:44:59.999,714378.29091568,997,20.579891,281453.08863911,0,1.0,1.0,0.0
2018-01-01 06:45:00,13722.48,13800.0,13702.1,13780.41,54.765813,2018-01-01 06:59:59.999,753516.4474975,937,24.814391,341447.56989545,0,0.0,1.0,0.0
2018-01-01 07:00:00,13780.0,13818.55,13670.0,13775.0,84.038319,2018-01-01 07:14:59.999,1157373.63707259,1319,42.535515,585847.45579393,0,0.0,1.0,-1.0
